ADC—Add
14 ib                                   |ADC AL, imm8
VEX.128.66.0F38.WIG 20 /r               |VPMOVSXBW xmm1, xmm2/m64
VEX.128.66.0F38.WIG 21 /r               |VPMOVSXBD xmm1, xmm2/m32
VEX.128.66.0F38.WIG 22 /r               |VPMOVSXBQ xmm1, xmm2/m16
VEX.128.66.0F38.WIG 23 /r               |VPMOVSXWD xmm1, xmm2/m64
VEX.128.66.0F38.WIG 24 /r               |VPMOVSXWQ xmm1, xmm2/m32
VEX.128.66.0F38.WIG 25 /r               |VPMOVSXDQ xmm1, xmm2/m64
VEX.256.66.0F38.WIG 20 /r               |VPMOVSXBW ymm1, xmm2/m128
VEX.256.66.0F38.WIG 21 /r               |VPMOVSXBD ymm1, xmm2/m64
VEX.256.66.0F38.WIG 22 /r               |VPMOVSXBQ ymm1, xmm2/m32
VEX.256.66.0F38.WIG 23 /r               |VPMOVSXWD ymm1, xmm2/m128
VEX.256.66.0F38.WIG 24 /r               |VPMOVSXWQ ymm1, xmm2/m64
VEX.256.66.0F38.WIG 25 /r               |VPMOVSXDQ ymm1, xmm2/m128
PMOVZX—Packed
66 0f 38 30 /r                          |PMOVZXBW xmm1, xmm2/m64
66 0f 38 31 /r                          |PMOVZXBD xmm1, xmm2/m32
66 0f 38 32 /r                          |PMOVZXBQ xmm1, xmm2/m16
66 0f 38 33 /r                          |PMOVZXWD xmm1, xmm2/m64
66 0f 38 34 /r                          |PMOVZXWQ xmm1, xmm2/m32
66 0f 38 35 /r                          |PMOVZXDQ xmm1, xmm2/m64
VEX.128.66.0F38.WIG 30 /r               |VPMOVZXBW xmm1, xmm2/m64
VEX.128.66.0F38.WIG 31 /r               |VPMOVZXBD xmm1, xmm2/m32
VEX.128.66.0F38.WIG 32 /r               |VPMOVZXBQ xmm1, xmm2/m16
VEX.128.66.0F38.WIG 33 /r               |VPMOVZXWD xmm1, xmm2/m64
VEX.128.66.0F38.WIG 34 /r               |VPMOVZXWQ xmm1, xmm2/m32
VEX.128.66.0F 38.WIG 35 /r              |VPMOVZXDQ xmm1, xmm2/m64
VEX.256.66.0F38.WIG 30 /r               |VPMOVZXBW ymm1, xmm2/m128
VEX.256.66.0F38.WIG 31 /r               |VPMOVZXBD ymm1, xmm2/m64
VEX.256.66.0F38.WIG 32 /r               |VPMOVZXBQ ymm1, xmm2/m32
VEX.256.66.0F38.WIG 33 /r               |VPMOVZXWD ymm1, xmm2/m128
PMOVZX—Packed
VEX.256.66.0F38.WIG 34 /r               |VPMOVZXWQ ymm1, xmm2/m64
VEX.256.66.0F38.WIG 35 /r               |VPMOVZXDQ ymm1, xmm2/m128
PMULDQ—Multiply
66 0F 38 28 /r                          |PMULDQ xmm1, xmm2/m128
VEX.128.66.0F38.WIG 28 /r               |VPMULDQ xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.WIG 28 /r               |VPMULDQ ymm1, ymm2,ymm3/m256
PMULHRSW—Packed
NP 0F 38 0B /r1                         |PMULHRSW mm1, mm2/m64
66 0F 38 0B /r                          |PMULHRSW xmm1, xmm2/m128
VEX.128.66.0F38.WIG 0B /r               |VPMULHRSW xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG 0B /r               |VPMULHRSW ymm1, ymm2, ymm3/m256
PMULHUW—Multiply
NP 0F E4 /r1                            |PMULHUW mm1, mm2/m64
66 0F E4 /r                             |PMULHUW xmm1, xmm2/m128
VEX.128.66.0F.WIG E4 /r                 |VPMULHUW xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG E4 /r                 |VPMULHUW ymm1, ymm2, ymm3/m256
PMULHW—Multiply
NP 0F E5 /r1                            |PMULHW mm, mm/m64
66 0F E5 /r                             |PMULHW xmm1, xmm2/m128
VEX.128.66.0F.WIG E5 /r                 |VPMULHW xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG E5 /r                 |VPMULHW ymm1, ymm2, ymm3/m256
PMULLD/PMULLQ—Multiply
66 0F 38 40 /r                          |PMULLD xmm1, xmm2/m128
VEX.128.66.0F38.WIG 40 /r               |VPMULLD xmm1, xmm2,xmm3/m128
VEX.256.66.0F38.WIG 40 /r               |VPMULLD ymm1, ymm2,ymm3/m256
PMULLW—Multiply
NP 0F D5 /r1                            |PMULLW mm, mm/m64
66 0F D5 /r                             |PMULLW xmm1, xmm2/m128
VEX.128.66.0F.WIG D5 /r                 |VPMULLW xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG D5 /r                 |VPMULLW ymm1, ymm2, ymm3/m256
PMULUDQ—Multiply
NP 0F F4 /r1                            |PMULUDQ mm1, mm2/m64
66 0F F4 /r                             |PMULUDQ xmm1, xmm2/m128
VEX.128.66.0F.WIG F4 /r                 |VPMULUDQ xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG F4 /r                 |VPMULUDQ ymm1, ymm2, ymm3/m256
POP—Pop
8F /0                                   |POP r/m16
8F /0                                   |POP r/m64
58+ rw                                  |POP r16
58+ rd                                  |POP r64
0F A1                                   |POP FS
0F A1                                   |POP FS
0F A9                                   |POP GS
0F A9                                   |POP GS
POPCNT—Return
F3 0F B8 /r                             |POPCNT r16, r/m16
F3 0F B8 /r                             |POPCNT r32, r/m32
F3 REX.W 0F B8 /r                       |POPCNT r64, r/m64
POPF/POPFD/POPFQ—Pop
9D                                      |POPF
9D                                      |POPFQ
POR—Bitwise
NP 0F EB /r1                            |POR mm, mm/m64
66 0F EB /r                             |POR xmm1, xmm2/m128
VEX.128.66.0F.WIG EB /r                 |VPOR xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG EB /r                 |VPOR ymm1, ymm2, ymm3/m256
PREFETCHh—Prefetch
0F 18 /1                                |PREFETCHT0 m8
0F 18 /2                                |PREFETCHT1 m8
0F 18 /3                                |PREFETCHT2 m8
0F 18 /0                                |PREFETCHNTA m8
PREFETCHW—Prefetch
0F 0D /1                                |PREFETCHW m8
PSADBW—Compute
NP 0F F6 /r1                            |PSADBW mm1, mm2/m64
66 0F F6 /r                             |PSADBW xmm1, xmm2/m128
VEX.128.66.0F.WIG F6 /r                 |VPSADBW xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG F6 /r                 |VPSADBW ymm1, ymm2, ymm3/m256
PSHUFB—Packed
NP 0F 38 00 /r1                         |PSHUFB mm1, mm2/m64
66 0F 38 00 /r                          |PSHUFB xmm1, xmm2/m128
VEX.128.66.0F38.WIG 00 /r               |VPSHUFB xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG 00 /r               |VPSHUFB ymm1, ymm2, ymm3/m256
PSHUFD—Shuffle
66 0F 70 /r ib                          |PSHUFD xmm1, xmm2/m128, imm8
VEX.128.66.0F.WIG 70 /r ib              |VPSHUFD xmm1, xmm2/m128, imm8
VEX.256.66.0F.WIG 70 /r ib              |VPSHUFD ymm1, ymm2/m256, imm8
PSHUFHW—Shuffle
F3 0F 70 /r ib                          |PSHUFHW xmm1, xmm2/m128, imm8
VEX.128.F3.0F.WIG 70 /r ib              |VPSHUFHW xmm1, xmm2/m128, imm8
VEX.256.F3.0F.WIG 70 /r ib              |VPSHUFHW ymm1, ymm2/m256, imm8
PSHUFLW—Shuffle
F2 0F 70 /r ib                          |PSHUFLW xmm1, xmm2/m128, imm8
VEX.128.F2.0F.WIG 70 /r ib              |VPSHUFLW xmm1, xmm2/m128, imm8
VEX.256.F2.0F.WIG 70 /r ib              |VPSHUFLW ymm1, ymm2/m256, imm8
PSHUFW—Shuffle
NP 0F 70 /r ib                          |PSHUFW mm1, mm2/m64, imm8
PSIGNB/PSIGNW/PSIGND—Packed
NP 0F 38 08 /r1                         |PSIGNB mm1, mm2/m64
66 0F 38 08 /r                          |PSIGNB xmm1, xmm2/m128
NP 0F 38 09 /r1                         |PSIGNW mm1, mm2/m64
66 0F 38 09 /r                          |PSIGNW xmm1, xmm2/m128
NP 0F 38 0A /r1                         |PSIGND mm1, mm2/m64
66 0F 38 0A /r                          |PSIGND xmm1, xmm2/m128
VEX.128.66.0F38.WIG 08 /r               |VPSIGNB xmm1, xmm2, xmm3/m128
VEX.128.66.0F38.WIG 09 /r               |VPSIGNW xmm1, xmm2, xmm3/m128
VEX.128.66.0F38.WIG 0A /r               |VPSIGND xmm1, xmm2, xmm3/m128
VEX.256.66.0F38.WIG 08 /r               |VPSIGNB ymm1, ymm2, ymm3/m256
VEX.256.66.0F38.WIG 09 /r               |VPSIGNW ymm1, ymm2, ymm3/m256
VEX.256.66.0F38.WIG 0A /r               |VPSIGND ymm1, ymm2, ymm3/m256
PSLLDQ—Shift
66 0F 73 /7 ib                          |PSLLDQ xmm1, imm8
VEX.128.66.0F.WIG 73 /7 ib              |VPSLLDQ xmm1, xmm2, imm8
VEX.256.66.0F.WIG 73 /7 ib              |VPSLLDQ ymm1, ymm2, imm8
PSLLW/PSLLD/PSLLQ—Shift
NP 0F F1 /r1                            |PSLLW mm, mm/m64
66 0F F1 /r                             |PSLLW xmm1, xmm2/m128
NP 0F 71 /6 ib                          |PSLLW mm1, imm8
66 0F 71 /6 ib                          |PSLLW xmm1, imm8
NP 0F F2 /r1                            |PSLLD mm, mm/m64
66 0F F2 /r                             |PSLLD xmm1, xmm2/m128
NP 0F 72 /6 ib1                         |PSLLD mm, imm8
66 0F 72 /6 ib                          |PSLLD xmm1, imm8
NP 0F F3 /r1                            |PSLLQ mm, mm/m64
66 0F F3 /r                             |PSLLQ xmm1, xmm2/m128
NP 0F 73 /6 ib1                         |PSLLQ mm, imm8
66 0F 73 /6 ib                          |PSLLQ xmm1, imm8
VEX.128.66.0F.WIG F1 /r                 |VPSLLW xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG 71 /6 ib              |VPSLLW xmm1, xmm2, imm8
VEX.128.66.0F.WIG F2 /r                 |VPSLLD xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG 72 /6 ib              |VPSLLD xmm1, xmm2, imm8
VEX.128.66.0F.WIG F3 /r                 |VPSLLQ xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG 73 /6 ib              |VPSLLQ xmm1, xmm2, imm8
VEX.256.66.0F.WIG F1 /r                 |VPSLLW ymm1, ymm2, xmm3/m128
VEX.256.66.0F.WIG 71 /6 ib              |VPSLLW ymm1, ymm2, imm8
PSLLW/PSLLD/PSLLQ—Shift
VEX.256.66.0F.WIG F2 /r                 |VPSLLD ymm1, ymm2, xmm3/m128
VEX.256.66.0F.WIG 72 /6 ib              |VPSLLD ymm1, ymm2, imm8
VEX.256.66.0F.WIG F3 /r                 |VPSLLQ ymm1, ymm2, xmm3/m128
VEX.256.66.0F.WIG 73 /6 ib              |VPSLLQ ymm1, ymm2, imm8
PSRAW/PSRAD/PSRAQ—Shift
NP 0F E1 /r1                            |PSRAW mm, mm/m64
66 0F E1 /r                             |PSRAW xmm1, xmm2/m128
NP 0F 71 /4 ib1                         |PSRAW mm, imm8
66 0F 71 /4 ib                          |PSRAW xmm1, imm8
NP 0F E2 /r1                            |PSRAD mm, mm/m64
66 0F E2 /r                             |PSRAD xmm1, xmm2/m128
NP 0F 72 /4 ib1                         |PSRAD mm, imm8
66 0F 72 /4 ib                          |PSRAD xmm1, imm8
VEX.128.66.0F.WIG E1 /r                 |VPSRAW xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG 71 /4 ib              |VPSRAW xmm1, xmm2, imm8
VEX.128.66.0F.WIG E2 /r                 |VPSRAD xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG 72 /4 ib              |VPSRAD xmm1, xmm2, imm8
VEX.256.66.0F.WIG E1 /r                 |VPSRAW ymm1, ymm2, xmm3/m128
VEX.256.66.0F.WIG 71 /4 ib              |VPSRAW ymm1, ymm2, imm8
VEX.256.66.0F.WIG E2 /r                 |VPSRAD ymm1, ymm2, xmm3/m128
VEX.256.66.0F.WIG 72 /4 ib              |VPSRAD ymm1, ymm2, imm8
PSRLDQ—Shift
66 0F 73 /3 ib                          |PSRLDQ xmm1, imm8
VEX.128.66.0F.WIG 73 /3 ib              |VPSRLDQ xmm1, xmm2, imm8
VEX.256.66.0F.WIG 73 /3 ib              |VPSRLDQ ymm1, ymm2, imm8
PSRLW/PSRLD/PSRLQ—Shift
NP 0F D1 /r1                            |PSRLW mm, mm/m64
66 0F D1 /r                             |PSRLW xmm1, xmm2/m128
NP 0F 71 /2 ib1                         |PSRLW mm, imm8
66 0F 71 /2 ib                          |PSRLW xmm1, imm8
NP 0F D2 /r1                            |PSRLD mm, mm/m64
66 0F D2 /r                             |PSRLD xmm1, xmm2/m128
NP 0F 72 /2 ib1                         |PSRLD mm, imm8
66 0F 72 /2 ib                          |PSRLD xmm1, imm8
NP 0F D3 /r1                            |PSRLQ mm, mm/m64
66 0F D3 /r                             |PSRLQ xmm1, xmm2/m128
NP 0F 73 /2 ib1                         |PSRLQ mm, imm8
66 0F 73 /2 ib                          |PSRLQ xmm1, imm8
VEX.128.66.0F.WIG D1 /r                 |VPSRLW xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG 71 /2 ib              |VPSRLW xmm1, xmm2, imm8
VEX.128.66.0F.WIG D2 /r                 |VPSRLD xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG 72 /2 ib              |VPSRLD xmm1, xmm2, imm8
VEX.128.66.0F.WIG D3 /r                 |VPSRLQ xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG 73 /2 ib              |VPSRLQ xmm1, xmm2, imm8
VEX.256.66.0F.WIG D1 /r                 |VPSRLW ymm1, ymm2, xmm3/m128
VEX.256.66.0F.WIG 71 /2 ib              |VPSRLW ymm1, ymm2, imm8
PSRLW/PSRLD/PSRLQ—Shift
VEX.256.66.0F.WIG D2 /r                 |VPSRLD ymm1, ymm2, xmm3/m128
VEX.256.66.0F.WIG 72 /2 ib              |VPSRLD ymm1, ymm2, imm8
VEX.256.66.0F.WIG D3 /r                 |VPSRLQ ymm1, ymm2, xmm3/m128
VEX.256.66.0F.WIG 73 /2 ib              |VPSRLQ ymm1, ymm2, imm8
PSUBB/PSUBW/PSUBD—Subtract
NP 0F F8 /r1                            |PSUBB mm, mm/m64
66 0F F8 /r                             |PSUBB xmm1, xmm2/m128
NP 0F F9 /r1                            |PSUBW mm, mm/m64
66 0F F9 /r                             |PSUBW xmm1, xmm2/m128
NP 0F FA /r1                            |PSUBD mm, mm/m64
66 0F FA /r                             |PSUBD xmm1, xmm2/m128
VEX.128.66.0F.WIG F8 /r                 |VPSUBB xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG F9 /r                 |VPSUBW xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG FA /r                 |VPSUBD xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG F8 /r                 |VPSUBB ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG F9 /r                 |VPSUBW ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG FA /r                 |VPSUBD ymm1, ymm2, ymm3/m256
PSUBQ—Subtract
NP 0F FB /r1                            |PSUBQ mm1, mm2/m64
66 0F FB /r                             |PSUBQ xmm1, xmm2/m128
VEX.128.66.0F.WIG FB/r                  |VPSUBQ xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG FB /r                 |VPSUBQ ymm1, ymm2, ymm3/m256
PSUBSB/PSUBSW—Subtract
NP 0F E8 /r1                            |PSUBSB mm, mm/m64
66 0F E8 /r                             |PSUBSB xmm1, xmm2/m128
NP 0F E9 /r1                            |PSUBSW mm, mm/m64
66 0F E9 /r                             |PSUBSW xmm1, xmm2/m128
VEX.128.66.0F.WIG E8 /r                 |VPSUBSB xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG E9 /r                 |VPSUBSW xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG E8 /r                 |VPSUBSB ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG E9 /r                 |VPSUBSW ymm1, ymm2, ymm3/m256
PSUBUSB/PSUBUSW—Subtract
NP 0F D8 /r1                            |PSUBUSB mm, mm/m64
66 0F D8 /r                             |PSUBUSB xmm1, xmm2/m128
NP 0F D9 /r1                            |PSUBUSW mm, mm/m64
66 0F D9 /r                             |PSUBUSW xmm1, xmm2/m128
VEX.128.66.0F.WIG D8 /r                 |VPSUBUSB xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG D9 /r                 |VPSUBUSW xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG D8 /r                 |VPSUBUSB ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG D9 /r                 |VPSUBUSW ymm1, ymm2, ymm3/m256
PTEST—Logical
66 0F 38 17 /r                          |PTEST xmm1, xmm2/m128
VEX.128.66.0F38.WIG 17 /r               |VPTEST xmm1, xmm2/m128
VEX.256.66.0F38.WIG 17 /r               |VPTEST ymm1, ymm2/m256
PTWRITE—Write
F3 REX.W 0F AE /4                       |PTWRITE r64/m64
F3 0F AE /4                             |PTWRITE r32/m32
PUNPCKHBW/PUNPCKHWD/PUNPCKHDQ/PUNPCKHQDQ—
NP 0F 68 /r1                            |PUNPCKHBW mm, mm/m64
66 0F 68 /r                             |PUNPCKHBW xmm1, xmm2/m128
NP 0F 69 /r1                            |PUNPCKHWD mm, mm/m64
66 0F 69 /r                             |PUNPCKHWD xmm1, xmm2/m128
NP 0F 6A /r1                            |PUNPCKHDQ mm, mm/m64
66 0F 6A /r                             |PUNPCKHDQ xmm1, xmm2/m128
66 0F 6D /r                             |PUNPCKHQDQ xmm1, xmm2/m128
VEX.128.66.0F.WIG 68/r                  |VPUNPCKHBW xmm1,xmm2, xmm3/m128
VEX.128.66.0F.WIG 69/r                  |VPUNPCKHWD xmm1,xmm2, xmm3/m128
VEX.128.66.0F.WIG 6A/r                  |VPUNPCKHDQ xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG 6D/r                  |VPUNPCKHQDQ xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG 68 /r                 |VPUNPCKHBW ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG 69 /r                 |VPUNPCKHWD ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG 6A /r                 |VPUNPCKHDQ ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG 6D /r                 |VPUNPCKHQDQ ymm1, ymm2, ymm3/m256
PUNPCKLBW/PUNPCKLWD/PUNPCKLDQ/PUNPCKLQDQ—Unpack
NP 0F 60 /r1                            |PUNPCKLBW mm, mm/m32
66 0F 60 /r                             |PUNPCKLBW xmm1, xmm2/m128
NP 0F 61 /r1                            |PUNPCKLWD mm, mm/m32
66 0F 61 /r                             |PUNPCKLWD xmm1, xmm2/m128
NP 0F 62 /r1                            |PUNPCKLDQ mm, mm/m32
66 0F 62 /r                             |PUNPCKLDQ xmm1, xmm2/m128
66 0F 6C /r                             |PUNPCKLQDQ xmm1, xmm2/m128
VEX.128.66.0F.WIG 60/r                  |VPUNPCKLBW xmm1,xmm2, xmm3/m128
VEX.128.66.0F.WIG 61/r                  |VPUNPCKLWD xmm1,xmm2, xmm3/m128
VEX.128.66.0F.WIG 62/r                  |VPUNPCKLDQ xmm1, xmm2, xmm3/m128
VEX.128.66.0F.WIG 6C/r                  |VPUNPCKLQDQ xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG 60 /r                 |VPUNPCKLBW ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG 61 /r                 |VPUNPCKLWD ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG 62 /r                 |VPUNPCKLDQ ymm1, ymm2, ymm3/m256
VEX.256.66.0F.WIG 6C /r                 |VPUNPCKLQDQ ymm1, ymm2, ymm3/m256
PUSH—Push
FF /6                                   |PUSH r/m16
FF /6                                   |PUSH r/m64
50+rw                                   |PUSH r16
50+rd                                   |PUSH r64
6A ib                                   |PUSH imm8
68 iw                                   |PUSH imm16
68 id                                   |PUSH imm32
0F A0                                   |PUSH FS
0F A8                                   |PUSH GS
PUSHF/PUSHFD/PUSHFQ—Push
9C                                      |PUSHF
9C                                      |PUSHFQ
PXOR—Logical
NP 0F EF /r1                            |PXOR mm, mm/m64
66 0F EF /r                             |PXOR xmm1, xmm2/m128
VEX.128.66.0F.WIG EF /r                 |VPXOR xmm1, xmm2, xmm3/m128
VEX.256.66.0F.WIG EF /r                 |VPXOR ymm1, ymm2, ymm3/m256
RCL/RCR/ROL/ROR—Rotate
D0 /2                                   |RCL r/m8, 1
REX + D0 /2                             |RCL r/m8, 1
D2 /2                                   |RCL r/m8, CL
REX + D2 /2                             |RCL r/m8, CL
C0 /2 ib                                |RCL r/m8, imm8
REX + C0 /2 ib                          |RCL r/m8, imm8
D1 /2                                   |RCL r/m16, 1
D3 /2                                   |RCL r/m16, CL
C1 /2 ib                                |RCL r/m16, imm8
D1 /2                                   |RCL r/m32, 1
REX.W + D1 /2                           |RCL r/m64, 1
D3 /2                                   |RCL r/m32, CL
REX.W + D3 /2                           |RCL r/m64, CL
C1 /2 ib                                |RCL r/m32, imm8
REX.W + C1 /2 ib                        |RCL r/m64, imm8
D0 /3                                   |RCR r/m8, 1
REX + D0 /3                             |RCR r/m8, 1
D2 /3                                   |RCR r/m8, CL
REX + D2 /3                             |RCR r/m8, CL
C0 /3 ib                                |RCR r/m8, imm8
REX + C0 /3 ib                          |RCR r/m8, imm8
D1 /3                                   |RCR r/m16, 1
D3 /3                                   |RCR r/m16, CL
C1 /3 ib                                |RCR r/m16, imm8
D1 /3                                   |RCR r/m32, 1
REX.W + D1 /3                           |RCR r/m64, 1
D3 /3                                   |RCR r/m32, CL
REX.W + D3 /3                           |RCR r/m64, CL
C1 /3 ib                                |RCR r/m32, imm8
REX.W + C1 /3 ib                        |RCR r/m64, imm8
D0 /0                                   |ROL r/m8, 1
REX + D0 /0                             |ROL r/m8, 1
D2 /0                                   |ROL r/m8, CL
REX + D2 /0                             |ROL r/m8, CL
C0 /0 ib                                |ROL r/m8, imm8
RCL/RCR/ROL/ROR—Rotate
REX + C0 /0 ib                          |ROL r/m8, imm8
D1 /0                                   |ROL r/m16, 1
D3 /0                                   |ROL r/m16, CL
C1 /0 ib                                |ROL r/m16, imm8
D1 /0                                   |ROL r/m32, 1
REX.W + D1 /0                           |ROL r/m64, 1
D3 /0                                   |ROL r/m32, CL
REX.W + D3 /0                           |ROL r/m64, CL
C1 /0 ib                                |ROL r/m32, imm8
REX.W + C1 /0 ib                        |ROL r/m64, imm8
D0 /1                                   |ROR r/m8, 1
REX + D0 /1                             |ROR r/m8, 1
D2 /1                                   |ROR r/m8, CL
REX + D2 /1                             |ROR r/m8, CL
C0 /1 ib                                |ROR r/m8, imm8
REX + C0 /1 ib                          |ROR r/m8, imm8
D1 /1                                   |ROR r/m16, 1
D3 /1                                   |ROR r/m16, CL
C1 /1 ib                                |ROR r/m16, imm8
D1 /1                                   |ROR r/m32, 1
REX.W + D1 /1                           |ROR r/m64, 1
D3 /1                                   |ROR r/m32, CL
REX.W + D3 /1                           |ROR r/m64, CL
C1 /1 ib                                |ROR r/m32, imm8
REX.W + C1 /1 ib                        |ROR r/m64, imm8
RCPPS—Compute
NP 0F 53 /r                             |RCPPS xmm1, xmm2/m128
VEX.128.0F.WIG 53 /r                    |VRCPPS xmm1, xmm2/m128
VEX.256.0F.WIG 53 /r                    |VRCPPS ymm1, ymm2/m256
RCPSS—Compute
F3 0F 53 /r                             |RCPSS xmm1, xmm2/m32
VEX.LIG.F3.0F.WIG 53 /r                 |VRCPSS xmm1, xmm2, xmm3/m32
RDFSBASE/RDGSBASE—Read
F3 0F AE /0                             |RDFSBASE r32
F3 REX.W 0F AE /0                       |RDFSBASE r64
F3 0F AE /1                             |RDGSBASE r32
F3 REX.W 0F AE /1                       |RDGSBASE r64
RDMSR—Read
0F 32                                   |RDMSR
RDPID—Read
F3 0F C7 /7                             |RDPID r64
RDPKRU—Read
NP 0F 01 EE                             |RDPKRU
RDPMC—Read
0F 33                                   |RDPMC
RDRAND—Read
NFx 0F C7 /6                            |RDRAND r16
NFx 0F C7 /6                            |RDRAND r32
NFx REX.W + 0F C7 /6                    |RDRAND r64
RDSEED—Read
NFx 0F C7 /7                            |RDSEED r16
NFx 0F C7 /7                            |RDSEED r32
NFx REX.W + 0F C7 /7                    |RDSEED r64
RDSSPD/RDSSPQ—Read
F3 0F 1E /1 (mod=11)                    |RDSSPD r32
F3 REX.W 0F 1E /1 (mod=11)              |RDSSPQ r64
RDTSC—Read
0F 31                                   |RDTSC
RDTSCP—Read
0F 01 F9                                |RDTSCP
REP/REPE/REPZ/REPNE/REPNZ—Repeat
F3 6C                                   |REP INS m8, DX
F3 6C                                   |REP INS m8, DX
F3 6D                                   |REP INS m16, DX
F3 6D                                   |REP INS m32, DX
F3 6D                                   |REP INS r/m32, DX
F3 A4                                   |REP MOVS m8, m8
F3 REX.W A4                             |REP MOVS m8, m8
F3 A5                                   |REP MOVS m16, m16
F3 A5                                   |REP MOVS m32, m32
F3 REX.W A5                             |REP MOVS m64, m64
F3 6E                                   |REP OUTS DX, r/m8
F3 REX.W 6E                             |REP OUTS DX, r/m8
F3 6F                                   |REP OUTS DX, r/m16
F3 6F                                   |REP OUTS DX, r/m32
F3 REX.W 6F                             |REP OUTS DX, r/m32
F3 AC                                   |REP LODS AL
F3 REX.W AC                             |REP LODS AL
F3 AD                                   |REP LODS AX
F3 AD                                   |REP LODS EAX
F3 REX.W AD                             |REP LODS RAX
F3 AA                                   |REP STOS m8
F3 REX.W AA                             |REP STOS m8
F3 AB                                   |REP STOS m16
F3 AB                                   |REP STOS m32
F3 REX.W AB                             |REP STOS m64
F3 A6                                   |REPE CMPS m8, m8
F3 REX.W A6                             |REPE CMPS m8, m8
F3 A7                                   |REPE CMPS m16, m16
F3 A7                                   |REPE CMPS m32, m32
F3 REX.W A7                             |REPE CMPS m64, m64
F3 AE                                   |REPE SCAS m8
F3 REX.W AE                             |REPE SCAS m8
F3 AF                                   |REPE SCAS m16
F3 AF                                   |REPE SCAS m32
REP/REPE/REPZ/REPNE/REPNZ—Repeat
F3 REX.W AF                             |REPE SCAS m64
F2 A6                                   |REPNE CMPS m8, m8
F2 REX.W A6                             |REPNE CMPS m8, m8
F2 A7                                   |REPNE CMPS m16, m16
F2 A7                                   |REPNE CMPS m32, m32
F2 REX.W A7                             |REPNE CMPS m64, m64
F2 AE                                   |REPNE SCAS m8
F2 REX.W AE                             |REPNE SCAS m8
F2 AF                                   |REPNE SCAS m16
F2 AF                                   |REPNE SCAS m32
F2 REX.W AF                             |REPNE SCAS m64
RET—Return
C3                                      |RET
CB                                      |RET
C2 iw                                   |RET imm16
CA iw                                   |RET imm16
ROUNDPD—Round
66 0F 3A 09 /r ib                       |ROUNDPD xmm1, xmm2/m128, imm8
VEX.128.66.0F3A.WIG 09 /r ib            |VROUNDPD xmm1, xmm2/m128, imm8
VEX.256.66.0F3A.WIG 09 /r ib            |VROUNDPD ymm1, ymm2/m256, imm8
ROUNDPS—Round
66 0F 3A 08                             |/r ibROUNDPS xmm1, xmm2/m128, imm8
VEX.128.66.0F3A.WIG 08 /r ib            |VROUNDPS xmm1, xmm2/m128, imm8
VEX.256.66.0F3A.WIG 08 /r ib            |VROUNDPS ymm1, ymm2/m256, imm8
ROUNDSD—Round
66 0F 3A 0B /r ib                       |ROUNDSD xmm1, xmm2/m64, imm8
VEX.LIG.66.0F3A.WIG 0B /r ib            |VROUNDSD xmm1, xmm2, xmm3/m64, imm8
ROUNDSS—Round
66 0F 3A 0A /r ib                       |ROUNDSS xmm1, xmm2/m32, imm8
VEX.LIG.66.0F3A.WIG 0A /r ib            |VROUNDSS xmm1, xmm2, xmm3/m32, imm8
RSM—Resume
0F AA                                   |RSM
RSQRTPS—Compute
